fecha;tipo_registro;depto_municipio;fecha_primer_caso;increm_casos;increm_muertes
19/12/2020;M;44560;16/05/2020;0.0168;0.0170
19/12/2020;M;25126;17/03/2020;0.0081;0.0418
19/12/2020;M;50006;05/04/2020;0.0047;0.0132
19/12/2020;M;5631;23/03/2020;0.0086;0.0287
19/12/2020;M;23466;08/05/2020;0.0024;0.0033
19/12/2020;M;5129;02/04/2020;0.0064;0.0257
19/12/2020;M;5212;08/04/2020;0.0151;0.0390
19/12/2020;M;66682;08/04/2020;0.0152;0.0547
19/12/2020;M;99773;12/08/2020;0.0000;0.0000
19/12/2020;M;5380;20/03/2020;0.0099;0.0241
19/12/2020;M;63130;22/03/2020;0.0132;0.0350
19/12/2020;M;41298;18/04/2020;0.0026;0.0217
19/12/2020;M;17380;22/03/2020;0.0086;0.0109
19/12/2020;M;47980;12/04/2020;0.0000;0.0000
19/12/2020;M;13052;29/03/2020;0.0193;0.0566
19/12/2020;M;13244;28/05/2020;0.0072;0.0098
19/12/2020;M;73268;09/04/2020;0.0082;0.0317
19/12/2020;M;70215;27/05/2020;0.0056;0.0123
19/12/2020;M;50313;21/04/2020;0.0062;0.0149
19/12/2020;M;47288;15/05/2020;0.0025;0.0064
19/12/2020;M;47245;17/04/2020;0.0000;0.0000
19/12/2020;M;5376;29/03/2020;0.0350;0.0859
19/12/2020;M;5440;20/05/2020;0.0277;0.0585
19/12/2020;M;17873;23/03/2020;0.0090;0.0354
19/12/2020;M;86568;15/05/2020;0.0059;0.0221
19/12/2020;M;8078;12/04/2020;0.0037;0.0125
19/12/2020;M;8296;08/04/2020;0.0050;0.0169
19/12/2020;M;23555;01/06/2020;0.0074;0.0112
19/12/2020;M;20013;25/04/2020;0.0008;0.0056
19/12/2020;M;47555;22/06/2020;0.0061;0.0092
19/12/2020;M;81736;15/06/2020;0.0011;0.0100
19/12/2020;M;5148;06/05/2020;0.0269;0.0540
19/12/2020;M;41396;29/04/2020;0.0053;0.0274
19/12/2020;M;70708;01/06/2020;0.0000;0.0000
19/12/2020;M;23189;08/04/2020;0.0015;0.0119
19/12/2020;M;5172;03/06/2020;0.0033;0.0066
19/12/2020;M;68679;29/06/2020;0.0426;0.0922
19/12/2020;M;86001;25/05/2020;0.0058;0.0278
19/12/2020;M;54810;02/05/2020;0.0084;0.0156
19/12/2020;M;5318;21/03/2020;0.0170;0.0311
19/12/2020;M;76275;11/04/2020;0.0141;0.0277
19/12/2020;M;15176;30/04/2020;0.0112;0.0550
19/12/2020;M;88001;22/03/2020;0.0018;0.0075
19/12/2020;M;76248;11/04/2020;0.0149;0.0416
19/12/2020;M;52079;29/05/2020;0.0000;0.0000
19/12/2020;M;81065;18/06/2020;0.0022;0.0022
19/12/2020;M;95001;07/06/2020;0.0035;0.0059
